SPEC,STRAT,YEAR,INT,sampleID,right.total.length.mm,left.total.length.mm
175,346.7,14929.13,15000,NA,NA,NA
176,346,14951.798,15000,L-176,3.146,2.781
177,345.5,14967.99,15000,NA,NA,NA
178,345.7,14961.513,15000,L-178,2.268,2.781
179.1,345.6,14964.752,15000,NA,NA,NA
179.2,345.6,14964.752,15000,NA,NA,NA
179.3,345.6,14964.752,15000,NA,NA,NA
179.4,345.6,14964.752,15000,NA,NA,NA
180,347.6,14899.986,15000,NA,NA,NA
181,346.4,14938.845,15000,L-181,2.927,3.439
182,435.5,12071.339,12250,NA,NA,NA
183,345.7,14961.513,15000,NA,NA,NA
184,367.3,14262.043,14500,NA,NA,NA
186,391.7,13470.281,13500,NA,NA,NA
187,347.1,14916.177,15000,L-187,2.3,3.659
188,82.9,22968.186,23000,NA,NA,NA
190,346.4,14938.845,15000,NA,NA,NA
191,81,23026.475,23250,NA,NA,NA
192,367.3,14262.043,14500,NA,NA,NA
193,348.1,14883.794,15000,L-193,1.902,1.092
194,363.4,14388.336,14500,NA,NA,NA
198,80.9,23029.713,23250,NA,NA,NA
199,80.8,23032.952,23250,NA,NA,NA
200,366.7,14281.472,14500,L-200,2.049,2.268
201,365.2,14330.047,14500,NA,NA,NA
202,366.2,14297.664,14500,NA,NA,NA
203,368.1,14236.136,14250,L-203,3.439,2.634
